0.757006	/technology and computing/consumer electronics/telephones/mobile phones	Just got off the phone with Kira.
0.420795	/technology and computing/hardware/computer peripherals/printers, copiers and fax/fax machines	Just got off the phone with Kira.
0.256787	/technology and computing/consumer electronics/telephones/mobile phones/smart phones	Just got off the phone with Kira.
0.470012	/business and industrial	She asked me what y'all do and I probably butchered it, but she sounded interested (especially when I closed by saying it would be a business services, fee-based revenue stream.
0.17007	/business and industrial/advertising and marketing/advertising	She asked me what y'all do and I probably butchered it, but she sounded interested (especially when I closed by saying it would be a business services, fee-based revenue stream.
0.143122	/food and drink	She asked me what y'all do and I probably butchered it, but she sounded interested (especially when I closed by saying it would be a business services, fee-based revenue stream.
0.239858	/business and industrial/pharmaceutical industry	From what I know in the industry, Yahoo's all about that these days, trying to find complements to its existing largely ad-driven model for which they are getting pummeled).  
0.197221	/food and drink/food/salads	From what I know in the industry, Yahoo's all about that these days, trying to find complements to its existing largely ad-driven model for which they are getting pummeled).  
0.18901	/business and industrial/mining industry	From what I know in the industry, Yahoo's all about that these days, trying to find complements to its existing largely ad-driven model for which they are getting pummeled).  
0.98753	/technology and computing/consumer electronics/telephones/mobile phones	To reach her by phone (I'd recommend handling initial contact through email and then suggesting phone time, but your call).
0.0352813	/style and fashion/beauty/face and body care/hygiene and toiletries	To reach her by phone (I'd recommend handling initial contact through email and then suggesting phone time, but your call).
0.0331158	/technology and computing/hardware/computer	To reach her by phone (I'd recommend handling initial contact through email and then suggesting phone time, but your call).
0.856053	/business and industrial/advertising and marketing/telemarketing	I don't have her direct number,  but called the main Yahoo corporate number 408-731-3300, then used the dial by  name directory.
0.171955	/finance/personal finance/lending/student loans	I don't have her direct number,  but called the main Yahoo corporate number 408-731-3300, then used the dial by  name directory.
0.163311	/travel/vacation rentals	I don't have her direct number,  but called the main Yahoo corporate number 408-731-3300, then used the dial by  name directory.
0.999997	/business and industrial/energy/oil	Her last name is spelled Zahn, but you have to keep adding letters from her first name (i went through K-I) before it will recognize it.  
0.00015515	/shopping/gifts/flowers	Her last name is spelled Zahn, but you have to keep adding letters from her first name (i went through K-I) before it will recognize it.  
0.00015515	/shopping/toys/puppets	Her last name is spelled Zahn, but you have to keep adding letters from her first name (i went through K-I) before it will recognize it.  
0.924874	/law, govt and politics	She and her husband both were in law school with me and are very, very cool folks.  
0.378791	/education/school	She and her husband both were in law school with me and are very, very cool folks.  
0.0317962	/education/graduate school	She and her husband both were in law school with me and are very, very cool folks.  
0.900071	/finance/investing/venture capital	He works at Silicon Valley Bank now.
0.115933	/art and entertainment/visual art and design/art museums and galleries	He works at Silicon Valley Bank now.
0.099237	/food and drink/food and grocery retailers/grocery stores	He works at Silicon Valley Bank now.
0.994918	/technology and computing/hardware/computer components/memory	Let me know if there's anything else I can do to help.
0.0259934	/technology and computing/hardware/computer	Let me know if there's anything else I can do to help.
0.0195836	/hobbies and interests/games/video and computer games	Let me know if there's anything else I can do to help.
0.622154	/technology and computing/consumer electronics/telephones/mobile phones	 Just got off the phone with Kira. She asked me what y'all do and I probably butchered it, but she sounded interested (especially when I closed by saying it would be a business services, fee-based revenue stream. From what I know in the industry, Yahoo's all about that these days, trying to find complements to its existing largely ad-driven model for which they are getting pummeled).   She said you should forward any information on to her at kira@yahoo-inc.com.   To reach her by phone (I'd recommend handling initial contact through email and then suggesting phone time, but your call). I don't have her direct number,  but called the main Yahoo corporate number 408-731-3300, then used the dial by  name directory. Her last name is spelled Zahn, but you have to keep adding letters from her first name (i went through K-I) before it will recognize it.   She and her husband both were in law school with me and are very, very cool folks.   He works at Silicon Valley Bank now. Let me know if there's anything else I can do to help.
0.500032	/business and industrial/energy/oil	 Just got off the phone with Kira. She asked me what y'all do and I probably butchered it, but she sounded interested (especially when I closed by saying it would be a business services, fee-based revenue stream. From what I know in the industry, Yahoo's all about that these days, trying to find complements to its existing largely ad-driven model for which they are getting pummeled).   She said you should forward any information on to her at kira@yahoo-inc.com.   To reach her by phone (I'd recommend handling initial contact through email and then suggesting phone time, but your call). I don't have her direct number,  but called the main Yahoo corporate number 408-731-3300, then used the dial by  name directory. Her last name is spelled Zahn, but you have to keep adding letters from her first name (i went through K-I) before it will recognize it.   She and her husband both were in law school with me and are very, very cool folks.   He works at Silicon Valley Bank now. Let me know if there's anything else I can do to help.
0.497469	/technology and computing/hardware/computer components/memory	 Just got off the phone with Kira. She asked me what y'all do and I probably butchered it, but she sounded interested (especially when I closed by saying it would be a business services, fee-based revenue stream. From what I know in the industry, Yahoo's all about that these days, trying to find complements to its existing largely ad-driven model for which they are getting pummeled).   She said you should forward any information on to her at kira@yahoo-inc.com.   To reach her by phone (I'd recommend handling initial contact through email and then suggesting phone time, but your call). I don't have her direct number,  but called the main Yahoo corporate number 408-731-3300, then used the dial by  name directory. Her last name is spelled Zahn, but you have to keep adding letters from her first name (i went through K-I) before it will recognize it.   She and her husband both were in law school with me and are very, very cool folks.   He works at Silicon Valley Bank now. Let me know if there's anything else I can do to help.
